Model,Train Time,Train Accuracy,Test Accuracy
Logistic Regression,1.9383189678192139,0.9146353306788385,0.9152180246673789
K-Nearest Neighbors,0.05599617958068848,0.9325693567705804,0.9029814509080315
Decision Tree,3.3817298412323,1.0,0.8945323880741963
SVC,23.340988159179688,0.9163186688679551,0.9124016703894338
